AAPL,1980,Technology,Computer Manufacturing
MSFT,1986,Technology,Computer Software: Prepackaged Software
AMWD,1986,Basic Industries,Forest Products
ABCB,1994,Finance,Major Banks
COUP,2016,Technology,Computer Software: Prepackaged Software
TSEM,1994,Technology,Semiconductors
CBF,2012,Finance,Major Banks
ISCA,1996,Consumer Services,Services-Misc. Amusement & Recreation
WDFC,1973,Basic Industries,Major Chemicals
IIVI,1987,Capital Goods,Electronic Components
